Square,NumChecklists,NumBirdChecklists,NumBirds
3775;-12240,3.0,0.0,0
3623;-11982,51.0,0.0,0
3411;-11450,1.0,0.0,0
3694;-12163,33.0,25.0,70.0
3717;-12209,1.0,1.0,3.0
3974;-12024,5.0,0.0,0
3925;-12005,4.0,4.0,20.0
3403;-11858,20.0,0.0,0
3419;-11821,1.0,0.0,0
3770;-12158,4.0,0.0,0
4094;-12361,3.0,2.0,5.0
3710;-12190,4.0,4.0,18.0
4083;-12061,1.0,0.0,0
3683;-12145,1.0,0.0,0
3716;-12210,1.0,0.0,0
3843;-12272,9.0,0.0,0
3743;-11959,2.0,2.0,3.0
3483;-11823,20.0,0.0,0
3414;-11882,1.0,0.0,0
3776;-12241,2.0,0.0,0
3981;-12040,1.0,1.0,3.0
4158;-12119,1.0,0.0,0
3409;-11865,3.0,0.0,0
3868;-12127,1.0,0.0,0
3864;-12094,2.0,0.0,0
3689;-12162,3.0,3.0,8.0
3701;-12219,31.0,7.0,12.0
3526;-12068,7.0,0.0,0
3453;-11808,2.0,0.0,0
3828;-12246,3.0,0.0,0
3481;-11791,33.0,0.0,0
3833;-12096,1.0,0.0,0
3948;-12158,2.0,0.0,0
3950;-12024,94.0,38.0,79.0
3589;-12043,5.0,0.0,0
3340;-11725,1.0,0.0,0
3786;-12196,2.0,0.0,0
4092;-12412,52.0,0.0,0
3403;-11884,2.0,0.0,0
4140;-12371,2.0,1.0,1.0
3851;-12235,3.0,2.0,4.0
4069;-12414,6.0,3.0,12.0
3373;-11742,2.0,0.0,0
3789;-12247,3.0,0.0,0
3811;-12250,1.0,0.0,0
3839;-12223,1.0,1.0,5.0
3407;-11847,9.0,0.0,0
3845;-12288,2.0,0.0,0
4131;-12002,1.0,0.0,0
4060;-12430,2.0,0.0,0
3738;-12209,16.0,0.0,0
3998;-12106,5.0,5.0,13.0
3743;-12206,18.0,0.0,0
3693;-11973,2.0,0.0,0
3273;-11715,38.0,0.0,0
3795;-11971,1.0,1.0,1.0
3585;-11623,1.0,0.0,0
3462;-11782,4.0,0.0,0
3400;-11977,5.0,0.0,0
3452;-11928,1.0,1.0,3.0
3269;-11719,13.0,0.0,0
3732;-12180,5.0,0.0,0
3325;-11727,1.0,0.0,0
4116;-12413,4.0,2.0,3.0
3974;-12198,7.0,0.0,0
3930;-12073,2.0,0.0,0
3740;-12180,13.0,0.0,0
3824;-12228,2.0,0.0,0
3908;-12120,1.0,0.0,0
3631;-12157,65.0,47.0,137.0
3533;-12067,1.0,1.0,1.0
3851;-12265,1.0,1.0,3.0
3468;-11935,9.0,0.0,0
4091;-12408,18.0,13.0,29.0
3362;-11575,1.0,0.0,0
3379;-11779,1.0,0.0,0
3448;-11953,1.0,0.0,0
3276;-11714,7.0,0.0,0
3453;-11983,2.0,2.0,2.0
3747;-12231,2.0,0.0,0
3844;-12292,1.0,0.0,0
3426;-11681,23.0,0.0,0
4002;-12108,3.0,2.0,5.0
3609;-11881,1.0,0.0,0
3912;-12229,1.0,0.0,0
3505;-11960,7.0,0.0,0
3283;-11654,3.0,2.0,3.0
3404;-11877,1.0,0.0,0
3840;-12301,13.0,9.0,21.0
3444;-11928,1.0,0.0,0
3413;-11818,2.0,0.0,0
3422;-11725,1.0,1.0,1.0
