map_code,transmission
0,0.0
100,0.0
104,1.0
105,0.9
107,0.0
108,0.007304514429409652
201,0.0004310860974733565
300,0.0
303,0.001029816788408574
304,0.3239612022512274
305,0.052496706981199855
308,0.2124056999161777
400,0.0
401,0.015351454915578973
404,0.040210753203209194
405,0.000862172194946713
500,0.016644713207999044
501,0.0006945276014848521
502,4.7898455274817386e-05
505,0.032211711172314694
506,0.0003831876421985391
507,0.0
510,0.0006705783738474435
511,0.0077116512992456
513,0.0016524967069811998
514,0.0
515,0.00023949227637408692
600,0.006514189917375165
801,9.579691054963477e-05
802,0.0004310860974733565
803,0.0005029337803855825
900,0.006346545323913304
909,0.005532271584241408
1101,0.0
1102,0.0
1103,0.0
1105,0.0
1106,0.0
1200,0.0009819183331337565
1206,2.3949227637408693e-05
1401,0.03767213507364388
1402,0.22064423422344628
1403,0.258891150760388
1405,0.0
