map_code,transmission
0,0.0
100,0.0
104,1.0
105,1.0
107,0.0
108,0.009635036496350365
201,0.03351824817518248
300,0.0
303,0.0
304,0.3585985401459854
305,0.09874452554744526
308,1.0
400,0.0
401,0.0018686131386861315
404,0.9
405,0.9
500,0.031532846715328466
501,0.0016934306569343065
502,0.0001751824817518248
505,0.04525547445255475
506,0.0012846715328467154
507,0.0
510,0.0
511,0.0012262773722627738
513,0.0008175182481751825
514,0.0
515,0.0
600,0.0007007299270072992
801,0.0008175182481751825
802,0.0003503649635036496
803,0.0005839416058394161
900,0.01454014598540146
909,0.006014598540145986
1101,0.0
1102,0.0
1103,0.0
1105,0.0
1106,0.0
1200,0.0009343065693430657
1206,0.0
1401,0.2715912408759124
1402,1
1403,0.9091386861313868
1405,0.0
